price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_ordinal,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_per_bedroom,area_per_bathroom,is_fully_equipped
6650000,4040,3,1,2,1,0,1,1,0,1,0,2,False,False,1346.6666666666667,4040.0,0
6650000,4260,4,2,2,1,0,0,1,0,0,0,1,True,False,1065.0,2130.0,0
6650000,6420,3,2,3,1,0,0,0,1,0,1,2,False,False,2140.0,3210.0,0
6650000,6500,3,2,3,1,0,0,0,1,0,1,2,False,False,2166.6666666666665,3250.0,0
6650000,5700,3,1,1,1,1,1,0,1,2,1,2,False,False,1900.0,5700.0,0
6650000,6000,3,2,3,1,1,0,0,1,0,0,2,False,False,2000.0,3000.0,0
6629000,6000,3,1,2,1,0,0,1,0,1,1,1,True,False,2000.0,6000.0,0
6615000,4000,3,2,2,1,0,1,0,1,1,0,1,True,False,1333.3333333333333,2000.0,0
6615000,10500,3,2,1,1,0,1,0,1,1,1,2,False,False,3500.0,5250.0,0
6580000,6000,3,2,4,1,0,0,0,1,0,0,1,True,False,2000.0,3000.0,0
6510000,3760,3,1,2,1,0,0,1,0,2,0,1,True,False,1253.3333333333333,3760.0,0
6510000,8250,3,2,3,1,0,0,0,1,0,0,2,False,False,2750.0,4125.0,0
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,False,True,2223.3333333333335,6670.0,0
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,True,False,1320.0,3960.0,0
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,False,True,2470.0,7410.0,0
6440000,8580,5,3,2,1,0,0,0,0,2,0,2,False,False,1716.0,2860.0,0
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,True,False,1666.6666666666667,5000.0,0
6419000,6750,2,1,1,1,1,1,0,0,2,1,2,False,False,3375.0,6750.0,0
6405000,4800,3,2,4,1,1,0,0,1,0,0,2,False,False,1600.0,2400.0,0
6300000,7200,3,2,1,1,0,1,0,1,3,0,1,True,False,2400.0,3600.0,0
6300000,6000,4,2,4,1,0,0,0,0,1,0,1,True,False,1500.0,3000.0,0
6300000,4100,3,2,3,1,0,0,0,1,2,0,1,True,False,1366.6666666666667,2050.0,0
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,False,False,3000.0,9000.0,0
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,True,False,2133.3333333333335,6400.0,0
6293000,6600,3,2,3,1,0,0,0,1,0,1,0,False,True,2200.0,3300.0,0
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,False,True,1500.0,6000.0,0
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,False,True,2200.0,3300.0,0
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,False,True,1833.3333333333333,5500.0,0
6195000,5500,3,2,4,1,1,0,0,1,1,0,1,True,False,1833.3333333333333,2750.0,0
6195000,6350,3,2,3,1,1,0,0,1,0,0,2,False,False,2116.6666666666665,3175.0,0
6195000,5500,3,2,1,1,1,1,0,0,2,1,2,False,False,1833.3333333333333,2750.0,0
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,False,True,1500.0,4500.0,0
6160000,5450,4,2,1,1,0,1,0,1,0,1,1,True,False,1362.5,2725.0,0
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,False,True,2140.0,6420.0,0
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,True,False,810.0,3240.0,0
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,True,False,2200.0,6600.0,0
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,False,True,2790.6666666666665,8372.0,0
6083000,4300,6,2,2,1,0,0,0,0,0,0,2,False,False,716.6666666666666,2150.0,0
6083000,9620,3,1,1,1,0,1,0,0,2,1,2,False,False,3206.6666666666665,9620.0,0
6020000,6800,2,1,1,1,1,1,0,0,2,0,2,False,False,3400.0,6800.0,0
6020000,8000,3,1,1,1,1,1,0,1,2,1,1,True,False,2666.6666666666665,8000.0,0
6020000,6900,3,2,1,1,1,1,0,0,0,1,0,False,True,2300.0,3450.0,0
5950000,3700,4,1,2,1,1,0,0,1,0,0,2,False,False,925.0,3700.0,0
5950000,6420,3,1,1,1,0,1,0,1,0,1,2,False,False,2140.0,6420.0,0
5950000,7020,3,1,1,1,0,1,0,1,2,1,1,True,False,2340.0,7020.0,0
5950000,6540,3,1,1,1,1,1,0,0,2,1,2,False,False,2180.0,6540.0,0
5950000,7231,3,1,2,1,1,1,0,1,0,1,1,True,False,2410.3333333333335,7231.0,0
5950000,6254,4,2,1,1,0,1,0,0,1,1,1,True,False,1563.5,3127.0,0
5950000,7320,4,2,2,1,0,0,0,0,0,0,2,False,False,1830.0,3660.0,0
5950000,6525,3,2,4,1,0,0,0,0,1,0,2,False,False,2175.0,3262.5,0
5943000,15600,3,1,1,1,0,0,0,1,2,0,1,True,False,5200.0,15600.0,0
5880000,7160,3,1,1,1,0,1,0,0,2,1,0,False,True,2386.6666666666665,7160.0,0
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,False,True,2166.6666666666665,3250.0,0
5873000,5500,3,1,3,1,1,0,0,1,1,0,2,False,False,1833.3333333333333,5500.0,0
5873000,11460,3,1,3,1,0,0,0,0,2,1,1,True,False,3820.0,11460.0,0
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,False,True,1600.0,4800.0,0
5810000,5828,4,1,4,1,1,0,0,0,0,0,1,True,False,1457.0,5828.0,0
5810000,5200,3,1,3,1,0,0,0,1,0,0,1,True,False,1733.3333333333333,5200.0,0
5810000,4800,3,1,3,1,0,0,0,1,0,0,0,False,True,1600.0,4800.0,0
5803000,7000,3,1,1,1,0,1,0,0,2,1,1,True,False,2333.3333333333335,7000.0,0
5775000,6000,3,2,4,1,0,0,0,1,0,0,0,False,True,2000.0,3000.0,0
5740000,5400,4,2,2,1,0,0,0,1,2,0,0,False,True,1350.0,2700.0,0
5740000,4640,4,1,2,1,0,0,0,0,1,0,1,True,False,1160.0,4640.0,0
5740000,5000,3,1,3,1,0,0,0,1,0,0,1,True,False,1666.6666666666667,5000.0,0
5740000,6360,3,1,1,1,1,1,0,1,2,1,2,False,False,2120.0,6360.0,0
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,False,True,1933.3333333333333,2900.0,0
5652500,6660,4,2,2,1,1,1,0,0,1,1,1,True,False,1665.0,3330.0,0
5600000,10500,4,2,2,1,0,0,0,0,1,0,1,True,False,2625.0,5250.0,0
5600000,4700,4,1,2,1,1,1,0,1,1,0,2,False,False,1175.0,4700.0,0
5600000,5000,3,1,4,1,0,0,0,0,0,0,2,False,False,1666.6666666666667,5000.0,0
5600000,10500,2,1,1,1,0,0,0,0,1,0,1,True,False,5250.0,10500.0,0
5600000,5500,3,2,2,1,0,0,0,0,1,0,1,True,False,1833.3333333333333,2750.0,0
5600000,6360,3,1,3,1,0,0,0,0,0,1,1,True,False,2120.0,6360.0,0
5600000,6600,4,2,1,1,0,1,0,0,0,1,1,True,False,1650.0,3300.0,0
5600000,5136,3,1,2,1,1,1,0,1,0,1,0,False,True,1712.0,5136.0,0
5565000,4400,4,1,2,1,0,0,0,1,2,1,1,True,False,1100.0,4400.0,0
5565000,5400,5,1,2,1,1,1,0,1,0,1,2,False,False,1080.0,5400.0,0
5530000,3300,3,3,2,1,0,1,0,0,0,0,1,True,False,1100.0,1100.0,0
5530000,3650,3,2,2,1,0,0,0,0,2,0,1,True,False,1216.6666666666667,1825.0,0
5530000,6100,3,2,1,1,0,1,0,0,2,1,2,False,False,2033.3333333333333,3050.0,0
5523000,6900,3,1,1,1,1,1,0,0,0,1,1,True,False,2300.0,6900.0,0
5495000,7980,3,1,1,1,0,0,0,0,2,0,1,True,False,2660.0,7980.0,0
5460000,3150,3,2,1,1,1,1,0,1,0,0,2,False,False,1050.0,1575.0,0
5460000,6100,3,1,3,1,1,0,0,1,0,1,1,True,False,2033.3333333333333,6100.0,0
5460000,6600,4,2,2,1,1,1,0,0,0,1,1,True,False,1650.0,3300.0,0
5425000,6825,3,1,1,1,1,1,0,1,0,1,1,True,False,2275.0,6825.0,0
5390000,6710,3,2,2,1,1,1,0,0,1,1,2,False,False,2236.6666666666665,3355.0,0
5320000,7800,3,1,1,1,0,1,0,1,2,1,0,False,True,2600.0,7800.0,0
5285000,4600,2,2,1,1,0,0,0,1,2,0,1,True,False,2300.0,2300.0,0
5250000,4260,4,1,2,1,0,1,0,1,0,0,2,False,False,1065.0,4260.0,0
5250000,6540,4,2,2,0,0,0,0,1,0,0,1,True,False,1635.0,3270.0,0
5250000,5500,3,2,1,1,0,1,0,0,0,0,1,True,False,1833.3333333333333,2750.0,0
5250000,10269,3,1,1,1,0,0,0,0,1,1,1,True,False,3423.0,10269.0,0
5250000,8400,3,1,2,1,1,1,0,1,2,1,0,False,True,2800.0,8400.0,0
5250000,5300,4,2,1,1,0,0,0,1,0,1,0,False,True,1325.0,2650.0,0
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,False,True,1266.6666666666667,3800.0,0
5250000,9800,4,2,2,1,1,0,0,0,2,0,1,True,False,2450.0,4900.0,0
5250000,8520,3,1,1,1,0,0,0,1,2,0,2,False,False,2840.0,8520.0,0
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,True,False,2016.6666666666667,6050.0,0
5229000,7085,3,1,1,1,1,1,0,0,2,1,1,True,False,2361.6666666666665,7085.0,0
5215000,3180,3,2,2,1,0,0,0,0,2,0,1,True,False,1060.0,1590.0,0
5215000,4500,4,2,1,0,0,1,0,1,2,0,1,True,False,1125.0,2250.0,0
5215000,7200,3,1,2,1,1,1,0,0,1,1,2,False,False,2400.0,7200.0,0
5145000,3410,3,1,2,0,0,0,0,1,0,0,1,True,False,1136.6666666666667,3410.0,0
5145000,7980,3,1,1,1,0,0,0,0,1,1,1,True,False,2660.0,7980.0,0
5110000,3000,3,2,2,1,1,1,0,0,0,0,2,False,False,1000.0,1500.0,0
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,False,True,1000.0,3000.0,0
5110000,11410,2,1,2,1,0,0,0,0,0,1,2,False,False,5705.0,11410.0,0
5110000,6100,3,1,1,1,0,1,0,1,0,1,1,True,False,2033.3333333333333,6100.0,0
5075000,5720,2,1,2,1,0,0,0,1,0,1,0,False,True,2860.0,5720.0,0
5040000,3540,2,1,1,0,1,1,0,0,0,0,1,True,False,1770.0,3540.0,0
5040000,7600,4,1,2,1,0,0,0,1,2,0,2,False,False,1900.0,7600.0,0
5040000,10700,3,1,2,1,1,1,0,0,0,0,1,True,False,3566.6666666666665,10700.0,0
5040000,6600,3,1,1,1,1,1,0,0,0,1,2,False,False,2200.0,6600.0,0
5033000,4800,2,1,1,1,1,1,0,0,0,0,1,True,False,2400.0,4800.0,0
5005000,8150,3,2,1,1,1,1,0,0,0,0,1,True,False,2716.6666666666665,4075.0,0
4970000,4410,4,3,2,1,0,1,0,0,2,0,1,True,False,1102.5,1470.0,0
4970000,7686,3,1,1,1,1,1,1,0,0,0,1,True,False,2562.0,7686.0,0
4956000,2800,3,2,2,0,0,1,0,1,1,0,1,True,False,933.3333333333334,1400.0,0
4935000,5948,3,1,2,1,0,0,0,1,0,0,1,True,False,1982.6666666666667,5948.0,0
4907000,4200,3,1,2,1,0,0,0,0,1,0,2,False,False,1400.0,4200.0,0
4900000,4520,3,1,2,1,0,1,0,1,0,0,1,True,False,1506.6666666666667,4520.0,0
4900000,4095,3,1,2,0,1,1,0,1,0,0,1,True,False,1365.0,4095.0,0
4900000,4120,2,1,1,1,0,1,0,0,1,0,1,True,False,2060.0,4120.0,0
4900000,5400,4,1,2,1,0,0,0,0,0,0,1,True,False,1350.0,5400.0,0
4900000,4770,3,1,1,1,1,1,0,0,0,0,1,True,False,1590.0,4770.0,0
4900000,6300,3,1,1,1,0,0,0,1,2,0,1,True,False,2100.0,6300.0,0
4900000,5800,2,1,1,1,1,1,0,1,0,0,1,True,False,2900.0,5800.0,0
4900000,3000,3,1,2,1,0,1,0,1,0,0,1,True,False,1000.0,3000.0,0
4900000,2970,3,1,3,1,0,0,0,0,0,0,1,True,False,990.0,2970.0,0
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,False,True,2240.0,6720.0,0
4900000,4646,3,1,2,1,1,1,0,0,2,0,1,True,False,1548.6666666666667,4646.0,0
4900000,12900,3,1,1,1,0,0,0,0,2,0,2,False,False,4300.0,12900.0,0
4893000,3420,4,2,2,1,0,1,0,1,2,0,1,True,False,855.0,1710.0,0
4893000,4995,4,2,1,1,0,1,0,0,0,0,1,True,False,1248.75,2497.5,0
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,False,True,2175.0,4350.0,0
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,False,True,1386.6666666666667,4160.0,0
4830000,6040,3,1,1,1,0,0,0,0,2,1,1,True,False,2013.3333333333333,6040.0,0
4830000,6862,3,1,2,1,0,0,0,1,2,1,2,False,False,2287.3333333333335,6862.0,0
4830000,4815,2,1,1,1,0,0,0,1,0,1,1,True,False,2407.5,4815.0,0
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,False,True,2333.3333333333335,7000.0,0
4795000,8100,4,1,4,1,0,1,0,1,2,0,1,True,False,2025.0,8100.0,0
4767000,3420,4,2,2,1,0,0,0,0,0,0,1,True,False,855.0,1710.0,0
4760000,9166,2,1,1,1,0,1,0,1,2,0,1,True,False,4583.0,9166.0,0
4760000,6321,3,1,2,1,0,1,0,1,1,0,2,False,False,2107.0,6321.0,0
4760000,10240,2,1,1,1,0,0,0,1,2,1,0,False,True,5120.0,10240.0,0
4753000,6440,2,1,1,1,0,0,0,1,3,0,1,True,False,3220.0,6440.0,0
4690000,5170,3,1,4,1,0,0,0,1,0,0,1,True,False,1723.3333333333333,5170.0,0
4690000,6000,2,1,1,1,0,1,0,1,1,0,2,False,False,3000.0,6000.0,0
4690000,3630,3,1,2,1,0,0,0,0,2,0,1,True,False,1210.0,3630.0,0
4690000,9667,4,2,2,1,1,1,0,0,1,0,1,True,False,2416.75,4833.5,0
4690000,5400,2,1,2,1,0,0,0,0,0,1,1,True,False,2700.0,5400.0,0
4690000,4320,3,1,1,1,0,0,0,0,0,1,1,True,False,1440.0,4320.0,0
4655000,3745,3,1,2,1,0,1,0,0,0,0,2,False,False,1248.3333333333333,3745.0,0
4620000,4160,3,1,1,1,1,1,0,1,0,0,0,False,True,1386.6666666666667,4160.0,0
4620000,3880,3,2,2,1,0,1,0,0,2,0,1,True,False,1293.3333333333333,1940.0,0
4620000,5680,3,1,2,1,1,0,0,1,1,0,1,True,False,1893.3333333333333,5680.0,0
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,True,False,1435.0,2870.0,0
4620000,5010,3,1,2,1,0,1,0,0,0,0,1,True,False,1670.0,5010.0,0
4613000,4510,4,2,2,1,0,1,0,0,0,0,1,True,False,1127.5,2255.0,0
4585000,4000,3,1,2,1,0,0,0,0,1,0,2,False,False,1333.3333333333333,4000.0,0
4585000,3840,3,1,2,1,0,0,0,0,1,1,1,True,False,1280.0,3840.0,0
4550000,3760,3,1,1,1,0,0,0,0,2,0,1,True,False,1253.3333333333333,3760.0,0
4550000,3640,3,1,2,1,0,0,0,1,0,0,2,False,False,1213.3333333333333,3640.0,0
4550000,2550,3,1,2,1,0,1,0,0,0,0,2,False,False,850.0,2550.0,0
4550000,5320,3,1,2,1,1,1,0,0,0,1,1,True,False,1773.3333333333333,5320.0,0
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,False,True,1786.6666666666667,5360.0,0
4550000,3520,3,1,1,1,0,0,0,0,0,1,1,True,False,1173.3333333333333,3520.0,0
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,False,True,2100.0,8400.0,0
4543000,4100,2,2,1,1,1,1,0,0,0,0,1,True,False,2050.0,2050.0,0
4543000,4990,4,2,2,1,1,1,0,0,0,1,2,False,False,1247.5,2495.0,0
4515000,3510,3,1,3,1,0,0,0,0,0,0,1,True,False,1170.0,3510.0,0
4515000,3450,3,1,2,1,0,1,0,0,1,0,1,True,False,1150.0,3450.0,0
4515000,9860,3,1,1,1,0,0,0,0,0,0,1,True,False,3286.6666666666665,9860.0,0
4515000,3520,2,1,2,1,0,0,0,0,0,1,2,False,False,1760.0,3520.0,0
4480000,4510,4,1,2,1,0,0,0,1,2,0,1,True,False,1127.5,4510.0,0
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,False,True,2942.5,5885.0,0
4480000,4000,3,1,2,1,0,0,0,0,2,0,2,False,False,1333.3333333333333,4000.0,0
4480000,8250,3,1,1,1,0,0,0,0,0,0,2,False,False,2750.0,8250.0,0
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,True,False,1346.6666666666667,4040.0,0
4473000,6360,2,1,1,1,0,1,0,1,1,0,2,False,False,3180.0,6360.0,0
4473000,3162,3,1,2,1,0,0,0,1,1,0,2,False,False,1054.0,3162.0,0
4473000,3510,3,1,2,1,0,0,0,0,0,0,1,True,False,1170.0,3510.0,0
4445000,3750,2,1,1,1,1,1,0,0,0,0,1,True,False,1875.0,3750.0,0
4410000,3968,3,1,2,0,0,0,0,0,0,0,1,True,False,1322.6666666666667,3968.0,0
4410000,4900,2,1,2,1,0,1,0,0,0,0,1,True,False,2450.0,4900.0,0
4403000,2880,3,1,2,1,0,0,0,0,0,1,1,True,False,960.0,2880.0,0
4403000,4880,3,1,1,1,0,0,0,0,2,1,0,False,True,1626.6666666666667,4880.0,0
4403000,4920,3,1,2,1,0,0,0,0,1,0,1,True,False,1640.0,4920.0,0
4382000,4950,4,1,2,1,0,0,0,1,0,0,1,True,False,1237.5,4950.0,0
4375000,3900,3,1,2,1,0,0,0,0,0,0,0,False,True,1300.0,3900.0,0
4340000,4500,3,2,3,1,0,0,1,0,1,0,2,False,False,1500.0,2250.0,0
4340000,1905,5,1,2,0,0,1,0,0,0,0,1,True,False,381.0,1905.0,0
4340000,4075,3,1,1,1,1,1,0,0,2,0,1,True,False,1358.3333333333333,4075.0,0
4340000,3500,4,1,2,1,0,0,0,0,2,0,2,False,False,875.0,3500.0,0
4340000,6450,4,1,2,1,0,0,0,0,0,0,1,True,False,1612.5,6450.0,0
4319000,4032,2,1,1,1,0,1,0,0,0,0,2,False,False,2016.0,4032.0,0
4305000,4400,2,1,1,1,0,0,0,0,1,0,1,True,False,2200.0,4400.0,0
4305000,10360,2,1,1,1,0,0,0,0,1,1,1,True,False,5180.0,10360.0,0
4277000,3400,3,1,2,1,0,1,0,0,2,1,1,True,False,1133.3333333333333,3400.0,0
4270000,6360,2,1,1,1,0,0,0,0,0,0,2,False,False,3180.0,6360.0,0
4270000,6360,2,1,2,1,0,0,0,0,0,0,0,False,True,3180.0,6360.0,0
4270000,4500,2,1,1,1,0,0,0,1,2,0,2,False,False,2250.0,4500.0,0
4270000,2175,3,1,2,0,1,1,0,1,0,0,0,False,True,725.0,2175.0,0
4270000,4360,4,1,2,1,0,0,0,0,0,0,2,False,False,1090.0,4360.0,0
4270000,7770,2,1,1,1,0,0,0,0,1,0,2,False,False,3885.0,7770.0,0
4235000,6650,3,1,2,1,1,0,0,0,0,0,1,True,False,2216.6666666666665,6650.0,0
4235000,2787,3,1,1,1,0,1,0,0,0,1,2,False,False,929.0,2787.0,0
4200000,5500,3,1,2,1,0,0,0,1,0,0,0,False,True,1833.3333333333333,5500.0,0
4200000,5040,3,1,2,1,0,1,0,1,0,0,0,False,True,1680.0,5040.0,0
4200000,5850,2,1,1,1,1,1,0,0,2,0,1,True,False,2925.0,5850.0,0
4200000,2610,4,3,2,0,0,0,0,0,0,0,1,True,False,652.5,870.0,0
4200000,2953,3,1,2,1,0,1,0,1,0,0,0,False,True,984.3333333333334,2953.0,0
4200000,2747,4,2,2,0,0,0,0,0,0,0,1,True,False,686.75,1373.5,0
4200000,4410,2,1,1,0,0,0,0,0,1,0,0,False,True,2205.0,4410.0,0
4200000,4000,4,2,2,0,0,0,0,0,0,0,1,True,False,1000.0,2000.0,0
4200000,2325,3,1,2,0,0,0,0,0,0,0,1,True,False,775.0,2325.0,0
4200000,4600,3,2,2,1,0,0,0,1,1,0,1,True,False,1533.3333333333333,2300.0,0
4200000,3640,3,2,2,1,0,1,0,0,0,0,0,False,True,1213.3333333333333,1820.0,0
4200000,5800,3,1,1,1,0,0,1,0,2,0,1,True,False,1933.3333333333333,5800.0,0
4200000,7000,3,1,1,1,0,0,0,0,3,0,2,False,False,2333.3333333333335,7000.0,0
4200000,4079,3,1,3,1,0,0,0,0,0,0,1,True,False,1359.6666666666667,4079.0,0
4200000,3520,3,1,2,1,0,0,0,0,0,1,1,True,False,1173.3333333333333,3520.0,0
4200000,2145,3,1,3,1,0,0,0,0,1,1,0,False,True,715.0,2145.0,0
4200000,4500,3,1,1,1,0,1,0,0,0,0,2,False,False,1500.0,4500.0,0
4193000,8250,3,1,1,1,0,1,0,0,3,0,1,True,False,2750.0,8250.0,0
4193000,3450,3,1,2,1,0,0,0,0,1,0,1,True,False,1150.0,3450.0,0
4165000,4840,3,1,2,1,0,0,0,0,1,0,1,True,False,1613.3333333333333,4840.0,0
4165000,4080,3,1,2,1,0,0,0,0,2,0,1,True,False,1360.0,4080.0,0
4165000,4046,3,1,2,1,0,1,0,0,1,0,1,True,False,1348.6666666666667,4046.0,0
4130000,4632,4,1,2,1,0,0,0,1,0,0,1,True,False,1158.0,4632.0,0
4130000,5985,3,1,1,1,0,1,0,0,0,0,1,True,False,1995.0,5985.0,0
4123000,6060,2,1,1,1,0,1,0,0,1,0,1,True,False,3030.0,6060.0,0
4098500,3600,3,1,1,1,0,1,0,1,0,1,2,False,False,1200.0,3600.0,0
4095000,3680,3,2,2,1,0,0,0,0,0,0,1,True,False,1226.6666666666667,1840.0,0
4095000,4040,2,1,2,1,0,0,0,0,1,0,1,True,False,2020.0,4040.0,0
4095000,5600,2,1,1,1,0,0,0,1,0,0,1,True,False,2800.0,5600.0,0
4060000,5900,4,2,2,0,0,1,0,0,1,0,0,False,True,1475.0,2950.0,0
4060000,4992,3,2,2,1,0,0,0,0,2,0,0,False,True,1664.0,2496.0,0
4060000,4340,3,1,1,1,0,0,0,0,0,0,1,True,False,1446.6666666666667,4340.0,0
4060000,3000,4,1,3,1,0,1,0,1,2,0,1,True,False,750.0,3000.0,0
4060000,4320,3,1,2,1,0,0,0,0,2,1,2,False,False,1440.0,4320.0,0
4025000,3630,3,2,2,1,0,0,1,0,2,0,1,True,False,1210.0,1815.0,0
